Timestamp, latitude, longitude, altitude
1.6046098367699226e+18,4.37819967283475932618e+01,-7.94665773832902004870e+01,1.57795547485351562500e+02
1.6046098367900308e+18,4.37819968020053735813e+01,-7.94665768472951015156e+01,1.57794937133789062500e+02
1.604609836809883e+18,4.37819969016140362328e+01,-7.94665761337424072508e+01,1.57794296264648437500e+02
1.604609836830915e+18,4.37819970021737105981e+01,-7.94665754211271178065e+01,1.57793609619140625000e+02
1.604609836852757e+18,4.37819971033065939992e+01,-7.94665747094492047609e+01,1.57792968750000000000e+02
1.6046098368700344e+18,4.37819972307811937640e+01,-7.94665738214477528345e+01,1.57792358398437500000e+02
1.6046098368970345e+18,4.37819973078131070565e+01,-7.94665732891309914976e+01,1.57791793823242187500e+02
1.6046098369099656e+18,4.37819974372418343478e+01,-7.94665724017702785886e+01,1.57791336059570312500e+02
1.6046098369302436e+18,4.37819975416576667726e+01,-7.94665716918722182527e+01,1.57790908813476562500e+02
1.6046098369500093e+18,4.37819976273529007926e+01,-7.94665708380319699700e+01,1.57790512084960937500e+02
1.604609836976526e+18,4.37819977049580302264e+01,-7.94665703095359532426e+01,1.57790130615234375000e+02
1.604609836990001e+18,4.37819977829409552328e+01,-7.94665697817399916403e+01,1.57789718627929687500e+02
1.6046098370100047e+18,4.37819978878257742849e+01,-7.94665690790918404218e+01,1.57789230346679687500e+02
1.6046098370302326e+18,4.37819979931795870698e+01,-7.94665683771674906666e+01,1.57788787841796875000e+02
1.6046098370527508e+18,4.37819981263081459133e+01,-7.94665675006994547402e+01,1.57788345336914062500e+02
1.6046098370699584e+18,4.37819982067141921789e+01,-7.94665669750393277582e+01,1.57787979125976562500e+02
1.6046098370900163e+18,4.37819983417447673446e+01,-7.94665660990933702124e+01,1.57787612915039062500e+02
1.6046098371098895e+18,4.37819984509156583385e+01,-7.94665653985929054670e+01,1.57787246704101562500e+02
1.6046098371301883e+18,4.37819985332758392360e+01,-7.94665648733836746942e+01,1.57786880493164062500e+02
1.604609837149922e+18,4.37819986670557668162e+01,-7.94665638529141062918e+01,1.57786453247070312500e+02
1.6046098371705472e+18,4.37819987501194418655e+01,-7.94665633291880766365e+01,1.57785888671875000000e+02
1.6046098371934034e+18,4.37819988337432945968e+01,-7.94665628054145827264e+01,1.57785278320312500000e+02
1.6046098372099418e+18,4.37819989744408601950e+01,-7.94665619324824916703e+01,1.57784667968750000000e+02
1.6046098372299e+18,4.37819990594977426213e+01,-7.94665614089700511613e+01,1.57784088134765625000e+02
1.6046098372527393e+18,4.37819991736060742937e+01,-7.94665607113410743523e+01,1.57783599853515625000e+02
1.6046098372699907e+18,4.37819992887566087347e+01,-7.94665600135341065879e+01,1.57783203125000000000e+02
1.6046098372899346e+18,4.37819994046887899231e+01,-7.94665593154542335697e+01,1.57782882690429687500e+02
1.604609837309937e+18,4.37819995208815271326e+01,-7.94665586172794320419e+01,1.57782501220703125000e+02
1.6046098373299039e+18,4.37819996373738931084e+01,-7.94665579182265702229e+01,1.57781982421875000000e+02
1.6046098373570204e+18,4.37819997942777305866e+01,-7.94665569043068416022e+01,1.57781204223632812500e+02
1.6046098373699694e+18,4.37819998835815979987e+01,-7.94665563820284290841e+01,1.57780456542968750000e+02
1.6046098373899377e+18,4.37819999733805147457e+01,-7.94665558596432077820e+01,1.57779663085937500000e+02
1.6046098374103741e+18,4.37820001244349796821e+01,-7.94665549891079905365e+01,1.57778793334960937500e+02
1.6046098374339105e+18,4.37820002157450929303e+01,-7.94665544669007601897e+01,1.57777877807617187500e+02
1.6046098374527675e+18,4.37820003380477515975e+01,-7.94665537705532756263e+01,1.57776885986328125000e+02
1.6046098374701435e+18,4.37820004608454595996e+01,-7.94665530737548948537e+01,1.57775955200195312500e+02
1.6046098374898865e+18,4.37820005845811479617e+01,-7.94665523767429249347e+01,1.57775222778320312500e+02
1.604609837509857e+18,4.37820007090724345744e+01,-7.94665516788647607882e+01,1.57774703979492187500e+02
1.6046098375301583e+18,4.37820008338242701029e+01,-7.94665509801797327327e+01,1.57774124145507812500e+02
1.6046098375499976e+18,4.37820009768277103035e+01,-7.94665500513367106805e+01,1.57773406982421875000e+02
1.6046098375700406e+18,4.37820011037290939271e+01,-7.94665493321834333074e+01,1.57772613525390625000e+02
1.6046098375899466e+18,4.37820011991298514431e+01,-7.94665487926286431275e+01,1.57771682739257812500e+02
1.6046098376102024e+18,4.37820013265914198541e+01,-7.94665480727990285459e+01,1.57770706176757812500e+02
1.6046098376299768e+18,4.37820014865046260866e+01,-7.94665471722911718189e+01,1.57769805908203125000e+02
1.6046098376527695e+18,4.37820015830257531775e+01,-7.94665466317752589021e+01,1.57769104003906250000e+02
1.604609837673973e+18,4.37820017449321738923e+01,-7.94665457308758362842e+01,1.57768402099609375000e+02
1.6046098376899402e+18,4.37820018425085351055e+01,-7.94665451902412627305e+01,1.57767547607421875000e+02
1.6046098377116142e+18,4.37820020056916519025e+01,-7.94665442889621402855e+01,1.57766571044921875000e+02
1.604609837730014e+18,4.37820021365664402424e+01,-7.94665435681951350944e+01,1.57765777587890625000e+02
1.604609837749968e+18,4.37820023051690156990e+01,-7.94665427626362088631e+01,1.57764831542968750000e+02
1.6046098377699668e+18,4.37820024397175728836e+01,-7.94665420721147626182e+01,1.57764160156250000000e+02
1.6046098377899666e+18,4.37820025408765118868e+01,-7.94665415536689323517e+01,1.57763549804687500000e+02
1.6046098378109043e+18,4.37820026421657289006e+01,-7.94665410347247842537e+01,1.57762985229492187500e+02
1.604609837829959e+18,4.37820027776913534012e+01,-7.94665403424828014067e+01,1.57762435913085937500e+02
1.6046098378527462e+18,4.37820029138032182914e+01,-7.94665396503001488782e+01,1.57761779785156250000e+02
1.6046098378704095e+18,4.37820030848940575652e+01,-7.94665387846417132778e+01,1.57760955810546875000e+02
1.6046098378900892e+18,4.37820031877465822845e+01,-7.94665382649974674223e+01,1.57760131835937500000e+02
1.6046098379099246e+18,4.37820033593845749920e+01,-7.94665373978083522388e+01,1.57759429931640625000e+02
1.6046098379350108e+18,4.37820034968252542740e+01,-7.94665367038933254662e+01,1.57758926391601562500e+02
1.6046098379537546e+18,4.37820036814647437495e+01,-7.94665357310524740342e+01,1.57758102416992187500e+02
1.604609837970205e+18,4.37820037805523085694e+01,-7.94665352132355451431e+01,1.57757369995117187500e+02
1.6046098379924872e+18,4.37820038794444528207e+01,-7.94665346949914379593e+01,1.57756591796875000000e+02
1.6046098380101353e+18,4.37820039783626526742e+01,-7.94665341763439130318e+01,1.57755798339843750000e+02
1.6046098380330847e+18,4.37820041105401998038e+01,-7.94665334843273853949e+01,1.57754943847656250000e+02
1.6046098380527493e+18,4.37820042760682710536e+01,-7.94665326192859424737e+01,1.57754104614257812500e+02
1.604609838090012e+18,4.37820045420648327195e+01,-7.94665312357512476638e+01,1.57752471923828125000e+02
1.6046098381104535e+18,4.37820046755711800301e+01,-7.94665305433431541360e+01,1.57751571655273437500e+02
1.6046098381302152e+18,4.37820048092990035116e+01,-7.94665298504841643989e+01,1.57750885009765625000e+02
1.6046098381513915e+18,4.37820049875159114094e+01,-7.94665290674225133216e+01,1.57750503540039062500e+02
1.604609838169957e+18,4.37820050914757814553e+01,-7.94665285537941485927e+01,1.57750198364257812500e+02
1.604609838192089e+18,4.37820051952532551809e+01,-7.94665280405929621566e+01,1.57750000000000000000e+02
1.604609838209959e+18,4.37820053339445749430e+01,-7.94665273560755167637e+01,1.57749984741210937500e+02
1.6046098382299914e+18,4.37820054724144256397e+01,-7.94665266702647272723e+01,1.57750045776367187500e+02
1.6046098382577234e+18,4.37820056108582207344e+01,-7.94665259835283990242e+01,1.57750061035156250000e+02
1.604609838269956e+18,4.37820057830694295831e+01,-7.94665251244198032055e+01,1.57750122070312500000e+02
1.604609838289946e+18,4.37820058857395650875e+01,-7.94665246087980250422e+01,1.57750228881835937500e+02
1.604609838310084e+18,4.37820060559705908076e+01,-7.94665237487757565304e+01,1.57750442504882812500e+02
1.604609838330088e+18,4.37820061575203567372e+01,-7.94665232323471002474e+01,1.57750625610351562500e+02
1.6046098383502019e+18,4.37820063493119775444e+01,-7.94665222864887397236e+01,1.57750823974609375000e+02
1.6046098383700626e+18,4.37820064476699926104e+01,-7.94665217747707401941e+01,1.57751098632812500000e+02
1.6046098383908836e+18,4.37820065461061744827e+01,-7.94665212628985102583e+01,1.57751464843750000000e+02
1.6046098384128486e+18,4.37820067107223209746e+01,-7.94665204086904282121e+01,1.57751907348632812500e+02
1.6046098384299226e+18,4.37820068095102499228e+01,-7.94665198956078882020e+01,1.57752426147460937500e+02
1.6046098384531315e+18,4.37820069408279763934e+01,-7.94665192107819251532e+01,1.57753082275390625000e+02
1.6046098384699228e+18,4.37820070715203755185e+01,-7.94665185252677872541e+01,1.57753753662109375000e+02
1.6046098384901425e+18,4.37820072017047010604e+01,-7.94665178388399766618e+01,1.57754486083984375000e+02
1.6046098385099866e+18,4.37820073643667200258e+01,-7.94665169789838330416e+01,1.57755340576171875000e+02
1.6046098385299546e+18,4.37820074622036301548e+01,-7.94665164621161466130e+01,1.57756057739257812500e+02
1.604609838549909e+18,4.37820076652380265614e+01,-7.94665155079043614705e+01,1.57757019042968750000e+02
1.6046098385702996e+18,4.37820077657325654741e+01,-7.94665149928046758987e+01,1.57757766723632812500e+02
1.604609838589919e+18,4.37820078661359062266e+01,-7.94665144774201905875e+01,1.57758560180664062500e+02
1.6046098386099308e+18,4.37820079997334516975e+01,-7.94665137898058162591e+01,1.57759384155273437500e+02
1.6046098386301542e+18,4.37820081328880661431e+01,-7.94665131012777976593e+01,1.57760238647460937500e+02
1.604609838653011e+18,4.37820082655736797506e+01,-7.94665124112784297949e+01,1.57761093139648437500e+02
1.6046098386699397e+18,4.37820083976600287201e+01,-7.94665117206501605551e+01,1.57761947631835937500e+02
1.604609838689956e+18,4.37820085297203220875e+01,-7.94665110300100536733e+01,1.57762710571289062500e+02
1.6046098387121308e+18,4.37820086947794067100e+01,-7.94665101652652765551e+01,1.57763336181640625000e+02
1.6046098387299215e+18,4.37820087936585267130e+01,-7.94665096447548364722e+01,1.57763702392578125000e+02
1.6046098387499743e+18,4.37820089836784021031e+01,-7.94665086769331594496e+01,1.57763992309570312500e+02
1.6046098387700442e+18,4.37820090800692582889e+01,-7.94665081573601099763e+01,1.57764251708984375000e+02
1.6046098387905487e+18,4.37820091758738740850e+01,-7.94665076375853374202e+01,1.57764526367187500000e+02
1.604609838809957e+18,4.37820093030879178286e+01,-7.94665069448331280455e+01,1.57764724731445312500e+02
1.6046098388300247e+18,4.37820094299893014522e+01,-7.94665062520097507104e+01,1.57764816284179687500e+02
1.6046098388538836e+18,4.37820095569818761305e+01,-7.94665055579285848353e+01,1.57764831542968750000e+02
1.6046098388703314e+18,4.37820097158528724890e+01,-7.94665046877730674169e+01,1.57764831542968750000e+02
1.604609838889932e+18,4.37820098110842792494e+01,-7.94665041645572642892e+01,1.57764938354492187500e+02
1.6046098389099756e+18,4.37820099375687803445e+01,-7.94665034656823934256e+01,1.57765182495117187500e+02
1.604609838930178e+18,4.37820100953845496861e+01,-7.94665025906619604257e+01,1.57765411376953125000e+02
1.6046098389525053e+18,4.37820103035127203839e+01,-7.94665015950509143750e+01,1.57765319824218750000e+02
1.6046098389699848e+18,4.37820104019619265046e+01,-7.94665010683703485483e+01,1.57765136718750000000e+02
1.604609838989967e+18,4.37820104673602372714e+01,-7.94665007170403328018e+01,1.57765075683593750000e+02
1.6046098390099676e+18,4.37820106300352804851e+01,-7.94664998378313214289e+01,1.57765075683593750000e+02
1.6046098390310003e+18,4.37820107275725618479e+01,-7.94664993096912724013e+01,1.57765045166015625000e+02
1.6046098390528453e+18,4.37820108897265001247e+01,-7.94664984279074246842e+01,1.57764968872070312500e+02
1.6046098390699308e+18,4.37820110193506408791e+01,-7.94664977215690555568e+01,1.57764846801757812500e+02
1.6046098390907297e+18,4.37820111165752621218e+01,-7.94664971911982576103e+01,1.57764801025390625000e+02
1.6046098391104824e+18,4.37820112788594784092e+01,-7.94664963049529262662e+01,1.57764801025390625000e+02
1.604609839129923e+18,4.37820113762143776626e+01,-7.94664957717343725108e+01,1.57764694213867187500e+02
1.6046098391500285e+18,4.37820115894232912979e+01,-7.94664948015751519961e+01,1.57765228271484375000e+02
1.6046098391699415e+18,4.37820116885369046145e+01,-7.94664942782051042514e+01,1.57765472412109375000e+02
1.604609839190097e+18,4.37820117872075869059e+01,-7.94664937541468390236e+01,1.57765731811523437500e+02
1.604609839213912e+18,4.37820119187337510880e+01,-7.94664930537768867680e+01,1.57766036987304687500e+02
