Timestamp, vel x, vel y, vel z
1.6046097621495258e+18,1.540114544332e-02,-8.780624717474e-02,3.263626992702e-02
1.6046097621694316e+18,1.340375561267e-02,-8.878003060818e-02,3.109359182417e-02
1.6046097621900383e+18,1.452164258808e-02,-8.983799815178e-02,3.172454982996e-02
1.6046097622095813e+18,1.419142913073e-02,-9.052293002605e-02,3.289746120572e-02
1.60460976222951e+18,1.426796987653e-02,-8.713350445032e-02,3.314650431275e-02
1.6046097622523302e+18,1.493034698069e-02,-8.436614274979e-02,3.229342773557e-02
1.6046097622694472e+18,1.694449782372e-02,-8.543892204762e-02,3.705614060163e-02
1.6046097622894874e+18,1.770807243884e-02,-8.952384442091e-02,4.141060262918e-02
1.6046097623104077e+18,1.838896796107e-02,-9.063287079334e-02,4.072668030858e-02
1.604609762329522e+18,1.828247122467e-02,-8.993055671453e-02,3.686523437500e-02
1.6046097623495112e+18,2.053690329194e-02,-9.094220399857e-02,3.521220758557e-02
1.604609762369703e+18,2.316487953067e-02,-9.194232523441e-02,3.611486777663e-02
1.6046097623896095e+18,2.554066292942e-02,-9.253782778978e-02,3.530082479119e-02
1.6046097624101553e+18,2.640115842223e-02,-9.158846735954e-02,3.301749378443e-02
1.6046097624293962e+18,2.600465342402e-02,-9.185028076172e-02,3.051822260022e-02
1.6046097624566907e+18,2.567587606609e-02,-9.476769715548e-02,3.021437674761e-02
1.6046097624697352e+18,2.866256609559e-02,-9.535102546215e-02,3.231630101800e-02
1.6046097624894804e+18,3.188958391547e-02,-9.519688040018e-02,3.478938341141e-02
1.6046097625125757e+18,3.263434022665e-02,-9.081605821848e-02,3.575555980206e-02
1.604609762528742e+18,3.149420768023e-02,-8.688203990459e-02,3.335551545024e-02
1.6046097625498985e+18,3.168753162026e-02,-8.946692943573e-02,3.039242327213e-02
1.6046097625694917e+18,3.289811685681e-02,-9.367606043816e-02,2.942461706698e-02
1.6046097625894546e+18,3.512647375464e-02,-9.435284137726e-02,3.020831570029e-02
1.604609762609921e+18,3.814020752907e-02,-9.634828567505e-02,3.088619373739e-02
1.604609762631007e+18,4.042268544436e-02,-9.576985239983e-02,2.779042720795e-02
1.6046097626523156e+18,3.893663734198e-02,-9.455408155918e-02,2.648431435227e-02
1.6046097626694144e+18,3.875611722469e-02,-9.048772603273e-02,2.591455914080e-02
1.6046097626895944e+18,4.153221100569e-02,-8.828972280025e-02,2.508082799613e-02
1.6046097627103946e+18,4.604024440050e-02,-8.888604491949e-02,2.449538558722e-02
1.6046097627300652e+18,4.981431737542e-02,-8.944623172283e-02,2.450940571725e-02
1.6046097627500344e+18,5.073167011142e-02,-9.198415279388e-02,2.577382512391e-02
1.6046097627695002e+18,5.056630074978e-02,-9.427749365568e-02,2.694203890860e-02
1.6046097627933932e+18,4.928223043680e-02,-9.165587276220e-02,2.449123747647e-02
1.6046097628095004e+18,4.909738898277e-02,-8.970052748919e-02,2.284209802747e-02
1.6046097628523937e+18,5.069596320391e-02,-8.752403408289e-02,2.564931660891e-02
1.6046097628700667e+18,5.220943689346e-02,-8.846848458052e-02,2.563514560461e-02
1.6046097628895132e+18,5.204139277339e-02,-9.095841646194e-02,2.313222363591e-02
1.6046097629097316e+18,5.168188363314e-02,-9.294729679823e-02,2.024057134986e-02
1.6046097629498719e+18,5.382772535086e-02,-9.447306394577e-02,2.066871523857e-02
1.6046097629694164e+18,5.019044876099e-02,-9.312785416842e-02,1.957312785089e-02
1.6046097629894956e+18,5.035116523504e-02,-9.022846072912e-02,2.032066136599e-02
1.6046097630094454e+18,5.121854320168e-02,-8.640037477016e-02,2.218451164663e-02
1.6046097630295004e+18,5.310496687889e-02,-8.197256177664e-02,2.389860525727e-02
1.6046097630527242e+18,5.590198189020e-02,-7.899791002274e-02,2.350939624012e-02
1.6046097630695864e+18,5.878900364041e-02,-7.715599983931e-02,2.258449792862e-02
1.6046097630904727e+18,6.144673004746e-02,-7.589627057314e-02,2.157887630165e-02
1.6046097631100288e+18,6.023977324367e-02,-7.643485069275e-02,1.875701174140e-02
1.6046097631294948e+18,5.602748319507e-02,-7.357686758041e-02,1.538269966841e-02
