timestamp,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1770789533.38014007,52424855,1,224,80,-528,5,13,-18,0,0,0,1,52424855
1770789533.38014007,52424855,2,224,80,-528,5,13,-18,0,0,0,1,52424855
1770789533.48010015,52524815,0,224,80,-528,5,13,-18,0,0,0,1,52524815
1770789533.48010015,52524815,1,224,80,-528,5,13,-18,0,0,0,1,52524815
1770789533.48010015,52524815,2,224,80,-528,5,13,-18,0,0,0,1,52524815
1770789533.58006001,52624775,0,224,80,-528,5,13,-18,0,0,0,1,52624775
1770789533.58006001,52624775,1,224,80,-528,5,13,-18,0,0,0,1,52624775
1770789533.58006001,52624775,2,224,80,-528,5,13,-18,0,0,0,1,52624775
1770789533.68002009,52724735,0,224,80,-528,5,13,-18,0,0,0,1,52724735
1770789533.68002009,52724735,1,224,80,-528,5,13,-18,0,0,0,1,52724735
1770789533.68002009,52724735,2,224,80,-528,5,13,-18,0,0,0,1,52724735
1770789533.77998018,52824695,0,224,80,-528,5,13,-18,0,0,0,1,52824695
1770789533.77998018,52824695,1,224,80,-528,5,13,-18,0,0,0,1,52824695
1770789533.77998018,52824695,2,224,80,-528,5,13,-18,0,0,0,1,52824695
1770789533.87994003,52924655,0,224,80,-528,5,13,-18,0,0,0,1,52924655
1770789533.87994003,52924655,1,224,80,-528,5,13,-18,0,0,0,1,52924655
1770789533.87994003,52924655,2,224,80,-528,5,13,-18,0,0,0,1,52924655
1770789533.97990012,53024615,0,224,80,-528,5,13,-18,0,0,0,1,53024615
1770789533.97990012,53024615,1,224,80,-528,5,13,-18,0,0,0,1,53024615
1770789533.97990012,53024615,2,224,80,-528,5,13,-18,0,0,0,1,53024615
1770789534.07985997,53124575,0,224,80,-528,5,13,-18,0,0,0,1,53124575
1770789534.07985997,53124575,1,224,80,-528,5,13,-18,0,0,0,1,53124575
1770789534.07985997,53124575,2,224,80,-528,5,13,-18,0,0,0,1,53124575
1770789534.17982006,53224535,0,224,80,-528,5,13,-18,0,0,0,1,53224535
1770789534.17982006,53224535,1,224,80,-528,5,13,-18,0,0,0,1,53224535
1770789534.17982006,53224535,2,224,80,-528,5,13,-18,0,0,0,1,53224535
1770789534.27978015,53324495,0,224,80,-528,5,13,-18,0,0,0,1,53324495
1770789534.27978015,53324495,1,224,80,-528,5,13,-18,0,0,0,1,53324495
1770789534.27978015,53324495,2,224,80,-528,5,13,-18,0,0,0,1,53324495
1770789534.37974000,53424455,0,224,80,-528,5,13,-18,0,0,0,1,53424455
1770789534.37974000,53424455,1,224,80,-528,5,13,-18,0,0,0,1,53424455
1770789534.37974000,53424455,2,224,80,-528,5,13,-18,0,0,0,1,53424455
1770789534.47970009,53524415,0,224,80,-528,5,13,-18,0,0,0,1,53524415
1770789534.47970009,53524415,1,224,80,-528,5,13,-18,0,0,0,1,53524415
1770789534.47970009,53524415,2,224,80,-528,5,13,-18,0,0,0,1,53524415
1770789534.57966018,53624375,0,224,80,-528,5,13,-18,0,0,0,1,53624375
1770789534.57966018,53624375,1,224,80,-528,5,13,-18,0,0,0,1,53624375
1770789534.57966018,53624375,2,224,80,-528,5,13,-18,0,0,0,1,53624375
1770789534.67962003,53724335,0,224,80,-528,5,13,-18,0,0,0,1,53724335
1770789534.67962003,53724335,1,224,80,-528,5,13,-18,0,0,0,1,53724335
1770789534.67962003,53724335,2,224,80,-528,5,13,-18,0,0,0,1,53724335
1770789534.78041315,53825128,0,224,80,-528,5,13,-18,0,0,0,1,53825128
1770789534.78041315,53825128,1,224,80,-528,5,13,-18,0,0,0,1,53825128
1770789534.78041315,53825128,2,224,80,-528,5,13,-18,0,0,0,1,53825128
1770789534.88037300,53925088,0,224,80,-528,5,13,-18,0,0,0,1,53925088
1770789534.88037300,53925088,1,224,80,-528,5,13,-18,0,0,0,1,53925088
1770789534.88037300,53925088,2,224,80,-528,5,13,-18,0,0,0,1,53925088
1770789534.98033309,54025048,0,224,80,-528,5,13,-18,0,0,0,1,54025048
1770789534.98033309,54025048,1,224,80,-528,5,13,-18,0,0,0,1,54025048
1770789534.98033309,54025048,2,224,80,-528,5,13,-18,0,0,0,1,54025048
1770789535.08029318,54125008,0,224,80,-528,5,13,-18,0,0,0,1,54125008
1770789535.08029318,54125008,1,224,80,-528,5,13,-18,0,0,0,1,54125008
1770789535.08029318,54125008,2,224,80,-528,5,13,-18,0,0,0,1,54125008
1770789535.18025303,54224968,0,224,80,-528,5,13,-18,0,0,0,1,54224968
1770789535.18025303,54224968,1,224,80,-528,5,13,-18,0,0,0,1,54224968
1770789535.18025303,54224968,2,224,80,-528,5,13,-18,0,0,0,1,54224968
1770789535.28021312,54324928,0,224,80,-528,5,13,-18,0,0,0,1,54324928
1770789535.28021312,54324928,1,224,80,-528,5,13,-18,0,0,0,1,54324928
1770789535.28021312,54324928,2,224,80,-528,5,13,-18,0,0,0,1,54324928
1770789535.38017297,54424888,0,224,80,-528,5,13,-18,0,0,0,1,54424888
1770789535.38017297,54424888,1,224,80,-528,5,13,-18,0,0,0,1,54424888
1770789535.38017297,54424888,2,224,80,-528,5,13,-18,0,0,0,1,54424888
1770789535.48013306,54524848,0,224,80,-528,5,13,-18,0,0,0,1,54524848
1770789535.48013306,54524848,1,224,80,-528,5,13,-18,0,0,0,1,54524848
1770789535.48013306,54524848,2,224,80,-528,5,13,-18,0,0,0,1,54524848
1770789535.58009315,54624808,0,224,80,-528,5,13,-18,0,0,0,1,54624808
1770789535.58009315,54624808,1,224,80,-528,5,13,-18,0,0,0,1,54624808
1770789535.58009315,54624808,2,224,80,-528,5,13,-18,0,0,0,1,54624808
1770789535.68005300,54724768,0,224,80,-528,5,13,-18,0,0,0,1,54724768
1770789535.68005300,54724768,1,224,80,-528,5,13,-18,0,0,0,1,54724768
1770789535.68005300,54724768,2,224,80,-528,5,13,-18,0,0,0,1,54724768
1770789535.78001308,54824728,0,224,80,-528,5,13,-18,0,0,0,1,54824728
